batch,slug,title,family,skill_count,first_skill_id,last_skill_id,safety_boundary
81,cobol-mainframe,COBOL / JCL / REXX / CICS / IMS Mainframe Pack,enterprise-mainframe,12,PG223,PG234,Financial and transaction semantics must be proven by record-level and monetary parallel-run evidence before cutover.
82,sap-abap,SAP ABAP / ABAP Cloud / CDS / RAP Pack,enterprise-sap,12,PG235,PG246,"Generated changes must respect SAP released APIs, client/tenant boundaries, transport governance, and clean-core policy."
83,database-procedural,PL/SQL / T-SQL / PL/pgSQL / SQL PL Pack,database-programming,12,PG247,PG258,"Logic must remain in the database when atomicity, data locality, or performance evidence requires it; extraction cannot be automatic dogma."
84,iec61131-plc,IEC 61131-3 PLC Languages Pack,industrial-control,12,PG259,PG270,"Safety PLC, SIL-rated logic, emergency shutdown, and physical actuation require independent qualified engineering approval and hardware validation."
85,matlab-simulink,MATLAB / Simulink / Stateflow Pack,model-based-engineering,12,PG271,PG282,"Safety-critical generated code is not certified by model tests alone; target compiler, hardware, and applicable lifecycle standards remain mandatory."
86,modelica-fmi,Modelica / FMI / FMU Digital Twin Pack,physical-modeling,12,PG283,PG294,Simulation predictions must be labelled separately from observed physical state and cannot directly authorize unsafe control actions.
87,vb-office,VB6 / VBA / VB.NET / Office Automation Pack,windows-legacy,12,PG295,PG306,Macro modernization must preserve document and business outcomes while preventing unsigned or over-privileged automation.
88,ibmi-rpg,IBM i RPG / CL / DDS / DB2 for i Pack,enterprise-ibmi,12,PG307,PG318,"Record formats, decimal semantics, commitment control, and operational job behavior require production-representative parallel validation."
89,r-data-science,R / Quarto / Shiny / renv Pack,data-science,12,PG319,PG330,"Statistical conclusions must disclose data coverage, assumptions, random seeds, packages, and uncertainty; generated analyses are not automatically scientifically valid."
90,sas-modernization,SAS / Macro / PROC SQL / Viya Modernization Pack,enterprise-analytics,12,PG331,PG342,"Migration claims require dataset-, statistic-, and report-level equivalence within explicitly approved tolerances."
91,salesforce,Salesforce Apex / SOQL / LWC Pack,enterprise-crm-platform,12,PG343,PG354,"CRUD, field-level security, sharing, tenant boundaries, and governor limits are mandatory correctness properties rather than optional optimizations."
92,objective-c-swift,Objective-C to Swift Modernization Pack,apple-legacy,12,PG355,PG366,"Migration must preserve Objective-C runtime features, memory ownership, public APIs, and application-store/runtime constraints."
93,delphi-object-pascal,Delphi / Object Pascal Modernization Pack,windows-industrial-legacy,12,PG367,PG378,Industrial and hardware-connected Delphi systems require target-device and timing validation before replacement.
94,beam-erlang-elixir-gleam,Erlang / Elixir / Gleam BEAM Pack,fault-tolerant-runtime,12,PG379,PG390,"Fault tolerance must be demonstrated under process crashes, node partitions, overload, and rolling release upgrades—not inferred from using OTP."
95,lua-openresty,Lua / OpenResty / Embedded Scripting Pack,embedded-scripting-gateway,12,PG391,PG402,"Untrusted Lua and plugin execution must be capability-limited, resource-bounded, and isolated from secrets and host process authority."
