source,target,route_class,default_mode,semantic_bridge,minimum_gate,readiness
java,java,in-place-modernization,modernize,,executed-evidence,not-run
java,kotlin,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
java,python,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
java,csharp,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
java,go,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
java,rust,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
java,cpp,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
java,php,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
java,typescript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
java,react,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
java,objc,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
java,swift,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
java,flutter,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
java,javascript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
java,c,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
java,cobol,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
java,rpg,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
java,pli,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
java,vb6,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
java,vbscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
java,object-pascal,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
java,powerscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
java,abap,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
java,natural,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
java,abl,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
java,fortran,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+numerical,executed-evidence,not-run
java,ada-spark,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
java,xbase,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
kotlin,java,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
kotlin,kotlin,in-place-modernization,modernize,,executed-evidence,not-run
kotlin,python,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
kotlin,csharp,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
kotlin,go,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
kotlin,rust,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
kotlin,cpp,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
kotlin,php,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
kotlin,typescript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
kotlin,react,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
kotlin,objc,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
kotlin,swift,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
kotlin,flutter,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
kotlin,javascript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
kotlin,c,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
kotlin,cobol,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
kotlin,rpg,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
kotlin,pli,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
kotlin,vb6,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
kotlin,vbscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
kotlin,object-pascal,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
kotlin,powerscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
kotlin,abap,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
kotlin,natural,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
kotlin,abl,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
kotlin,fortran,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+numerical,executed-evidence,not-run
kotlin,ada-spark,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
kotlin,xbase,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
python,java,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
python,kotlin,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
python,python,in-place-modernization,modernize,,executed-evidence,not-run
python,csharp,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
python,go,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
python,rust,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
python,cpp,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
python,php,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
python,typescript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
python,react,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
python,objc,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
python,swift,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
python,flutter,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
python,javascript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
python,c,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
python,cobol,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
python,rpg,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
python,pli,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
python,vb6,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
python,vbscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
python,object-pascal,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
python,powerscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
python,abap,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
python,natural,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
python,abl,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
python,fortran,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+numerical,executed-evidence,not-run
python,ada-spark,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
python,xbase,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
csharp,java,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
csharp,kotlin,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
csharp,python,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
csharp,csharp,in-place-modernization,modernize,,executed-evidence,not-run
csharp,go,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
csharp,rust,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
csharp,cpp,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
csharp,php,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
csharp,typescript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
csharp,react,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
csharp,objc,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
csharp,swift,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
csharp,flutter,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
csharp,javascript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
csharp,c,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
csharp,cobol,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
csharp,rpg,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
csharp,pli,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
csharp,vb6,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
csharp,vbscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
csharp,object-pascal,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
csharp,powerscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
csharp,abap,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
csharp,natural,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
csharp,abl,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
csharp,fortran,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+numerical,executed-evidence,not-run
csharp,ada-spark,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
csharp,xbase,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
go,java,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
go,kotlin,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
go,python,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
go,csharp,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
go,go,in-place-modernization,modernize,,executed-evidence,not-run
go,rust,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
go,cpp,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
go,php,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
go,typescript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
go,react,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
go,objc,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
go,swift,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
go,flutter,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
go,javascript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
go,c,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
go,cobol,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
go,rpg,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
go,pli,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
go,vb6,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
go,vbscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
go,object-pascal,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
go,powerscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
go,abap,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
go,natural,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
go,abl,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
go,fortran,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+numerical,executed-evidence,not-run
go,ada-spark,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
go,xbase,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
rust,java,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
rust,kotlin,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
rust,python,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
rust,csharp,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
rust,go,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
rust,rust,in-place-modernization,modernize,native-abi+safety,executed-evidence,not-run
rust,cpp,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
rust,php,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
rust,typescript,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
rust,react,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
rust,objc,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
rust,swift,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
rust,flutter,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
