id,skill,epic,group,priority,phase,status,dependencies,description,acceptance_hint
ELMOS-ORCH-001,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Discovery and baseline,P0,G0-G9,BACKLOG,,"Inventory applications, workers, runners, engines, platform modules, contracts, schemas, migrations, CI, deployment files, and skills.","Implement and verify: Inventory applications, workers, runners, engines, platform modules, contracts, schemas, migrations, CI, deployment files, and skills."
ELMOS-ORCH-002,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Discovery and baseline,P0,G0-G9,BACKLOG,,"Identify authoritative stores for project, workflow, task, artifact, audit, billing, policy, and evidence.","Implement and verify: Identify authoritative stores for project, workflow, task, artifact, audit, billing, policy, and evidence."
ELMOS-ORCH-003,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Discovery and baseline,P0,G0-G9,BACKLOG,,"Detect placeholders, in-memory production state, trusted headers, default secrets, unprotected endpoints, and unexecuted integrations.","Implement and verify: Detect placeholders, in-memory production state, trusted headers, default secrets, unprotected endpoints, and unexecuted integrations."
ELMOS-ORCH-004,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Discovery and baseline,P0,G0-G9,BACKLOG,,"Run the repository test suite and capture exact command, commit, environment, result, duration, and failures.","Implement and verify: Run the repository test suite and capture exact command, commit, environment, result, duration, and failures."
ELMOS-ORCH-005,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Discovery and baseline,P0,G0-G9,BACKLOG,,Create a gap map from code to the selected acceptance gate.,Implement and verify: Create a gap map from code to the selected acceptance gate.
ELMOS-ORCH-006,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Planning and dependency control,P0,G0-G9,BACKLOG,,Load the skill manifest and task catalog before selecting work.,Implement and verify: Load the skill manifest and task catalog before selecting work.
ELMOS-ORCH-007,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Planning and dependency control,P0,G0-G9,BACKLOG,,Resolve all dependencies and approved exceptions.,Implement and verify: Resolve all dependencies and approved exceptions.
ELMOS-ORCH-008,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Planning and dependency control,P0,G0-G9,BACKLOG,,Select the smallest vertical slice that produces a demonstrable end-to-end result.,Implement and verify: Select the smallest vertical slice that produces a demonstrable end-to-end result.
ELMOS-ORCH-009,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Planning and dependency control,P0,G0-G9,BACKLOG,,"Split work into reversible commits, migrations, checkpoints, and rollback boundaries.","Implement and verify: Split work into reversible commits, migrations, checkpoints, and rollback boundaries."
ELMOS-ORCH-010,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Planning and dependency control,P0,G0-G9,BACKLOG,,Attach validation commands and expected evidence to every task.,Implement and verify: Attach validation commands and expected evidence to every task.
ELMOS-ORCH-011,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Planning and dependency control,P0,G0-G9,BACKLOG,,Estimate system wall-clock runtime from measured history and label uncertainty.,Implement and verify: Estimate system wall-clock runtime from measured history and label uncertainty.
ELMOS-ORCH-012,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Planning and dependency control,P0,G0-G9,BACKLOG,,Estimate human-equivalent effort separately.,Implement and verify: Estimate human-equivalent effort separately.
