id,batch,name,summary,path,depends_on
PG171,61,spec-to-code-drift-detector,Detects divergence between approved specifications and current repository behavior.,skills/batch-61/PG171-spec-to-code-drift-detector.md,PG032 PG042 PG064 PG076 PG158
PG172,61,code-to-spec-reconciliation,Proposes controlled specification updates when valid repository behavior is not represented upstream.,skills/batch-61/PG172-code-to-spec-reconciliation.md,PG071 PG171
PG173,61,manual-edit-preservation,"Preserves manual edits across regeneration using ownership, protected regions, semantic identity, and version history.",skills/batch-61/PG173-manual-edit-preservation.md,PG071 PG072 PG074 PG171
PG174,61,incremental-regeneration-planner,Creates the smallest safe regeneration plan for an approved change request.,skills/batch-61/PG174-incremental-regeneration-planner.md,PG032 PG042 PG073 PG173
PG175,61,change-set-impact-analyzer,"Analyzes proposed repository changes across behavior, contracts, data, security, operations, and cost.",skills/batch-61/PG175-change-set-impact-analyzer.md,PG032 PG046 PG050 PG053 PG174
PG176,61,architecture-drift-detector,Detects repository structures and runtime topology that violate the approved architecture baseline.,skills/batch-61/PG176-architecture-drift-detector.md,PG045 PG047 PG050 PG053 PG171
PG177,61,database-api-compatibility-check,"Checks schema, migration, REST, RPC, event, and webhook compatibility for a change set.",skills/batch-61/PG177-database-api-compatibility-check.md,PG114 PG115 PG116 PG117 PG124 PG175
PG178,61,refactoring-and-upgrade-bridge,"Plans controlled framework, runtime, dependency, and structural upgrades within Project Synthesis.",skills/batch-61/PG178-refactoring-and-upgrade-bridge.md,PG010 PG057 PG058 PG175 PG177
PG179,61,human-approval-gate,"Manages scoped approvals for high-impact change, reconciliation, repair, security, data, and delivery decisions.",skills/batch-61/PG179-human-approval-gate.md,PG007 PG008 PG031 PG175
PG180,61,git-pr-delivery-manager,Packages approved incremental changes into reviewable commits and pull or merge requests.,skills/batch-61/PG180-git-pr-delivery-manager.md,PG158 PG175 PG177 PG179
PG181,62,synthesis-agent-orchestrator,"Coordinates specialist agents, skills, tools, approvals, budgets, and state transitions for Project Synthesis.",skills/batch-62/PG181-synthesis-agent-orchestrator.md,PG005 PG008 PG009 PG180
PG182,62,planner-coder-reviewer-agent-team,"Defines separated planner, implementer, reviewer, tester, security, and certifier responsibilities.",skills/batch-62/PG182-planner-coder-reviewer-agent-team.md,PG181
PG183,62,skill-discovery-and-routing,"Discovers and ranks Skills by contract compatibility, capability, policy, language, domain, and evidence quality.",skills/batch-62/PG183-skill-discovery-and-routing.md,PG008 PG062 PG181
PG184,62,skill-input-output-contract-validator,"Validates Skill manifests, schemas, preconditions, outputs, evidence, and version compatibility.",skills/batch-62/PG184-skill-input-output-contract-validator.md,PG002 PG003 PG007 PG183
PG185,62,skill-sandbox-permission-enforcer,"Enforces process, filesystem, network, repository, secret, deployment, and data capabilities for Skills and agents.",skills/batch-62/PG185-skill-sandbox-permission-enforcer.md,PG008 PG147 PG184
PG186,62,model-routing-and-budget-controller,"Routes tasks across models and controls token, latency, monetary, and retry budgets.",skills/batch-62/PG186-model-routing-and-budget-controller.md,PG009 PG181
PG187,62,context-pack-builder,"Builds minimal, source-grounded context packs for each specialist agent.",skills/batch-62/PG187-context-pack-builder.md,PG004 PG009 PG182
PG188,62,domain-pack-sdk,"Defines packaging, extension, validation, testing, and publication contracts for Domain Packs.",skills/batch-62/PG188-domain-pack-sdk.md,PG065 PG184
PG189,62,template-skill-marketplace-publisher,"Publishes governed Skills, templates, profiles, and Domain Packs into an internal or external marketplace.",skills/batch-62/PG189-template-skill-marketplace-publisher.md,PG066 PG188
PG190,62,skill-version-compatibility-manager,"Manages Skill, schema, template, model adapter, and Domain Pack compatibility across platform releases.",skills/batch-62/PG190-skill-version-compatibility-manager.md,PG184 PG188 PG189
PG191,63,golden-project-benchmark-suite,"Defines representative benchmark projects across languages, architectures, and risk levels.",skills/batch-63/PG191-golden-project-benchmark-suite.md,PG077 PG089 PG101 PG124 PG190
PG192,63,requirements-understanding-eval,"Evaluates extraction, ambiguity handling, scope, conflict detection, assumptions, and acceptance criteria.",skills/batch-63/PG192-requirements-understanding-eval.md,PG011 PG020 PG021 PG031 PG191
PG193,63,architecture-quality-eval,"Evaluates architecture simplicity, fit, boundaries, tradeoffs, security, data ownership, and operability.",skills/batch-63/PG193-architecture-quality-eval.md,PG043 PG054 PG191
PG194,63,code-correctness-eval,"Evaluates semantic correctness, maintainability, contract conformance, language idioms, and generated-code governance.",skills/batch-63/PG194-code-correctness-eval.md,PG069 PG075 PG191
PG195,63,build-run-success-eval,"Evaluates clean setup, build, migration, startup, health, smoke, shutdown, and evidence reproducibility.",skills/batch-63/PG195-build-run-success-eval.md,PG147 PG156 PG158 PG191
PG196,63,security-compliance-eval,"Evaluates threat controls, authorization, tenant isolation, supply chain, secrets, data handling, and compliance evidence.",skills/batch-63/PG196-security-compliance-eval.md,PG050 PG145 PG162 PG191
