batch,batch_slug,batch_title,phase,name,description,path
1,competition-positioning,竞争格局与产品定位,A 市场、评估与转换决策,competitor-capability-radar,持续跟踪竞争产品、开源项目和云平台在评估、转换、验证、私有化与发布治理方面的能力变化。,batches/batch-01-competition-positioning/skills/competitor-capability-radar/SKILL.md
1,competition-positioning,竞争格局与产品定位,A 市场、评估与转换决策,capability-gap-analyzer,将本系统能力与选定竞争者进行结构化对比，找出缺口、重叠、领先点与优先补齐项。,batches/batch-01-competition-positioning/skills/capability-gap-analyzer/SKILL.md
1,competition-positioning,竞争格局与产品定位,A 市场、评估与转换决策,build-buy-partner-decision,依据战略重要性、成熟度、成本、数据壁垒和交付责任，决定自研、采购、集成或合作。,batches/batch-01-competition-positioning/skills/build-buy-partner-decision/SKILL.md
1,competition-positioning,竞争格局与产品定位,A 市场、评估与转换决策,platform-commoditization-risk,评估某项转换或验证能力被基础模型、云厂商或开源工具快速商品化的风险。,batches/batch-01-competition-positioning/skills/platform-commoditization-risk/SKILL.md
1,competition-positioning,竞争格局与产品定位,A 市场、评估与转换决策,vertical-market-selector,从语言方向、行业、客户类型和交付痛点中选择最有商业闭环的垂直市场。,batches/batch-01-competition-positioning/skills/vertical-market-selector/SKILL.md
1,competition-positioning,竞争格局与产品定位,A 市场、评估与转换决策,differentiation-strategy-generator,生成模型中立、深度验证、私有部署、行业语义和证据交付导向的差异化方案。,batches/batch-01-competition-positioning/skills/differentiation-strategy-generator/SKILL.md
2,modernization-assessment,应用现代化自动评估,A 市场、评估与转换决策,repository-modernization-assessment,对源仓库执行端到端现代化评估，覆盖架构、代码、依赖、数据、安全、测试、运维和团队适配。,batches/batch-02-modernization-assessment/skills/repository-modernization-assessment/SKILL.md
2,modernization-assessment,应用现代化自动评估,A 市场、评估与转换决策,application-architecture-recovery,从静态代码、配置、部署文件和运行 Trace 中恢复应用模块、边界、调用、数据与部署架构。,batches/batch-02-modernization-assessment/skills/application-architecture-recovery/SKILL.md
2,modernization-assessment,应用现代化自动评估,A 市场、评估与转换决策,modernization-readiness-score,从可转换性、测试、可观测性、依赖、风险和组织准备度计算可解释的现代化就绪评分。,batches/batch-02-modernization-assessment/skills/modernization-readiness-score/SKILL.md
2,modernization-assessment,应用现代化自动评估,A 市场、评估与转换决策,modernization-blocker-discovery,发现反射、动态加载、原生库、私有框架、平台 API、隐式事务和未观测行为等阻断项。,batches/batch-02-modernization-assessment/skills/modernization-blocker-discovery/SKILL.md
2,modernization-assessment,应用现代化自动评估,A 市场、评估与转换决策,technical-debt-inventory,生成版本、框架、依赖、安全、架构、测试和运维技术债清单，并按风险和收益排序。,batches/batch-02-modernization-assessment/skills/technical-debt-inventory/SKILL.md
