task_id,skill_id,skill_name,task,priority,gate,evidence_required
ELMOS-MTF-001-T01,ELMOS-MTF-001,elmos-multitenant-task-finops-orchestrator,"Scan the target repository and locate identity, task, workflow, runner, event, storage, billing, and analytics boundaries.",P0,required,true
ELMOS-MTF-001-T02,ELMOS-MTF-001,elmos-multitenant-task-finops-orchestrator,"Create a requirement-to-component gap matrix and mark existing, reusable, conflicting, and missing implementation.",P0,required,true
ELMOS-MTF-001-T03,ELMOS-MTF-001,elmos-multitenant-task-finops-orchestrator,"Freeze domain names, state machine, identifiers, idempotency keys, event names, and financial terms.",P0,required,true
ELMOS-MTF-001-T04,ELMOS-MTF-001,elmos-multitenant-task-finops-orchestrator,Select the authoritative storage owner for every persistent data type and prohibit dual truth.,P0,required,true
ELMOS-MTF-001-T05,ELMOS-MTF-001,elmos-multitenant-task-finops-orchestrator,Plan backward-compatible schema migrations and rollback/roll-forward procedures.,P0,required,true
ELMOS-MTF-001-T06,ELMOS-MTF-001,elmos-multitenant-task-finops-orchestrator,Define the first production-shaped vertical slice and its fixtures.,P0,required,true
ELMOS-MTF-001-T07,ELMOS-MTF-001,elmos-multitenant-task-finops-orchestrator,Sequence dependent skills and assign evidence owners.,P0,required,true
ELMOS-MTF-001-T08,ELMOS-MTF-001,elmos-multitenant-task-finops-orchestrator,Define environment-specific feature flags and safe rollout order.,P0,required,true
ELMOS-MTF-001-T09,ELMOS-MTF-001,elmos-multitenant-task-finops-orchestrator,"Integrate runtime ETA reporting with queue, execution, model, validation, transfer, and recovery time.",P0,required,true
ELMOS-MTF-001-T10,ELMOS-MTF-001,elmos-multitenant-task-finops-orchestrator,Track implementation status in a stable task matrix.,P0,required,true
ELMOS-MTF-001-T11,ELMOS-MTF-001,elmos-multitenant-task-finops-orchestrator,Run all package and repository validation gates.,P0,required,true
ELMOS-MTF-001-T12,ELMOS-MTF-001,elmos-multitenant-task-finops-orchestrator,Generate the final execution report with known limitations and waivers.,P0,required,true
ELMOS-MTF-002-T01,ELMOS-MTF-002,elmos-tenant-identity-rls,Define OIDC claims and membership resolution rules.,P0,required,true
ELMOS-MTF-002-T02,ELMOS-MTF-002,elmos-tenant-identity-rls,Remove all trust in client-provided tenant headers.,P0,required,true
ELMOS-MTF-002-T03,ELMOS-MTF-002,elmos-tenant-identity-rls,Define transaction-local identity context propagation.,P0,required,true
ELMOS-MTF-002-T04,ELMOS-MTF-002,elmos-tenant-identity-rls,Create non-superuser database roles and grants.,P0,required,true
ELMOS-MTF-002-T05,ELMOS-MTF-002,elmos-tenant-identity-rls,Enable and force RLS on all tenant-scoped task tables.,P0,required,true
ELMOS-MTF-002-T06,ELMOS-MTF-002,elmos-tenant-identity-rls,Create account-owner policies for global concurrency slots.,P0,required,true
ELMOS-MTF-002-T07,ELMOS-MTF-002,elmos-tenant-identity-rls,Add admin and workflow-service access through explicit least-privilege paths.,P0,required,true
ELMOS-MTF-002-T08,ELMOS-MTF-002,elmos-tenant-identity-rls,"Classify task inputs, outputs, logs, prompts, usage, and revenue fields.",P0,required,true
ELMOS-MTF-002-T09,ELMOS-MTF-002,elmos-tenant-identity-rls,Implement encryption-key references and log redaction.,P0,required,true
ELMOS-MTF-002-T10,ELMOS-MTF-002,elmos-tenant-identity-rls,Audit all privileged task and finance operations.,P0,required,true
ELMOS-MTF-002-T11,ELMOS-MTF-002,elmos-tenant-identity-rls,"Add tenant export, retention, and deletion workflows.",P0,required,true
ELMOS-MTF-002-T12,ELMOS-MTF-002,elmos-tenant-identity-rls,"Execute cross-tenant, confused-deputy, and BYPASSRLS tests.",P0,required,true
ELMOS-MTF-003-T01,ELMOS-MTF-003,elmos-account-concurrency-admission,Define slot-consuming and non-slot-consuming task states.,P0,required,true
ELMOS-MTF-003-T02,ELMOS-MTF-003,elmos-account-concurrency-admission,Implement three durable account slot rows.,P0,required,true
ELMOS-MTF-003-T03,ELMOS-MTF-003,elmos-account-concurrency-admission,Implement atomic slot claim with row locking and lease generation.,P0,required,true
ELMOS-MTF-003-T04,ELMOS-MTF-003,elmos-account-concurrency-admission,Implement generation-safe slot renewal and release.,P0,required,true
ELMOS-MTF-003-T05,ELMOS-MTF-003,elmos-account-concurrency-admission,Implement idempotent task submission.,P0,required,true
ELMOS-MTF-003-T06,ELMOS-MTF-003,elmos-account-concurrency-admission,Queue fourth and later tasks without executing them.,P0,required,true
ELMOS-MTF-003-T07,ELMOS-MTF-003,elmos-account-concurrency-admission,"Promote queued tasks after terminal, paused, or safely reconciled slot release.",P0,required,true
ELMOS-MTF-003-T08,ELMOS-MTF-003,elmos-account-concurrency-admission,"Enforce tenant active-task, queued-task, and resource-unit quotas.",P0,required,true
ELMOS-MTF-003-T09,ELMOS-MTF-003,elmos-account-concurrency-admission,Expose concurrency status and queue position APIs.,P0,required,true
ELMOS-MTF-003-T10,ELMOS-MTF-003,elmos-account-concurrency-admission,Publish admission and slot lifecycle events.,P0,required,true
ELMOS-MTF-003-T11,ELMOS-MTF-003,elmos-account-concurrency-admission,Add stale-slot reaping and reconciliation.,P0,required,true
ELMOS-MTF-003-T12,ELMOS-MTF-003,elmos-account-concurrency-admission,Run high-contention race tests across multiple API replicas.,P0,required,true
ELMOS-MTF-004-T01,ELMOS-MTF-004,elmos-workload-aware-scheduler,Define workload classes and resource-unit weights.,P1,required,true
ELMOS-MTF-004-T02,ELMOS-MTF-004,elmos-workload-aware-scheduler,Estimate root-task and node-level resource demand.,P1,required,true
ELMOS-MTF-004-T03,ELMOS-MTF-004,elmos-workload-aware-scheduler,Create workload-specific Temporal task queues.,P1,required,true
ELMOS-MTF-004-T04,ELMOS-MTF-004,elmos-workload-aware-scheduler,Configure bounded worker concurrency per queue.,P1,required,true
ELMOS-MTF-004-T05,ELMOS-MTF-004,elmos-workload-aware-scheduler,Implement tenant active-task and resource-unit quotas.,P1,required,true
ELMOS-MTF-004-T06,ELMOS-MTF-004,elmos-workload-aware-scheduler,Implement weighted fair scheduling and priority aging.,P1,required,true
ELMOS-MTF-004-T07,ELMOS-MTF-004,elmos-workload-aware-scheduler,Implement platform backpressure and admission delay reasons.,P1,required,true
ELMOS-MTF-004-T08,ELMOS-MTF-004,elmos-workload-aware-scheduler,Integrate cost budget and provider quota gates.,P1,required,true
ELMOS-MTF-004-T09,ELMOS-MTF-004,elmos-workload-aware-scheduler,Expose queue position and estimated start time.,P1,required,true
ELMOS-MTF-004-T10,ELMOS-MTF-004,elmos-workload-aware-scheduler,Emit queue and scheduling metrics through OpenTelemetry.,P1,required,true
ELMOS-MTF-004-T11,ELMOS-MTF-004,elmos-workload-aware-scheduler,Define autoscaling policies and safe minimum/maximum workers.,P1,required,true
ELMOS-MTF-004-T12,ELMOS-MTF-004,elmos-workload-aware-scheduler,"Run fairness, saturation, and noisy-neighbor benchmarks.",P1,required,true
