id,language,prompt,expected_skill,should_trigger,notes
01-zh,zh-CN,请在 Elmos 仓库中实现“统一多模态输入总控”。建立所有输入类型共享的会话、状态机、路由、错误隔离和下游交付边界，使下游 Agent 只消费统一内容模型。必须给出真实代码、迁移、测试和验收证据。,elmos-multimodal-input-orchestrator,true,直接实现请求
01-scenario,zh-CN,当前 Elmos 遇到这个场景：为 Elmos 实现统一多模态输入总控；当任务涉及音频、图片、PDF、Word、Markdown、TXT、文件夹或压缩包接入、解析编排与下游交接时使用。请按生产级标准排查现有实现并补齐缺失能力。,elmos-multimodal-input-orchestrator,true,场景触发
02-zh,zh-CN,请在 Elmos 仓库中实现“安全断点续传”。提供面向单文件、多文件和大型项目包的安全上传协议，客户端断线后可继续，服务端可验证完整性并避免重复存储。必须给出真实代码、迁移、测试和验收证据。,elmos-secure-resumable-upload,true,直接实现请求
02-scenario,zh-CN,当前 Elmos 遇到这个场景：实现 Elmos 安全、幂等、可恢复的文件与大对象上传；当任务涉及分片上传、断点续传、预签名 URL、校验和或客户端重连时使用。请按生产级标准排查现有实现并补齐缺失能力。,elmos-secure-resumable-upload,true,场景触发
03-zh,zh-CN,请在 Elmos 仓库中实现“文件类型识别与验证”。在任何解析或解压前可靠识别真实文件类型，并给出可审计的置信度、冲突和处理决策。必须给出真实代码、迁移、测试和验收证据。,elmos-file-type-detection-and-validation,true,直接实现请求
03-scenario,zh-CN,当前 Elmos 遇到这个场景：实现扩展名、MIME、文件魔数和内容特征联合识别；当任务涉及文件格式验证、伪装文件阻止或解析器选择时使用。请按生产级标准排查现有实现并补齐缺失能力。,elmos-file-type-detection-and-validation,true,场景触发
04-zh,zh-CN,请在 Elmos 仓库中实现“恶意文件隔离与解析沙箱”。确保所有用户文件在最小权限、无默认网络、受资源限制的环境中被扫描和解析，任何可执行内容均不会在接入阶段运行。必须给出真实代码、迁移、测试和验收证据。,elmos-malware-quarantine-and-sandbox,true,直接实现请求
04-scenario,zh-CN,当前 Elmos 遇到这个场景：实现上传内容恶意扫描、隔离区和解析沙箱；当任务涉及病毒、Office 宏、PDF 脚本、解析器漏洞或不可信文件执行边界时使用。请按生产级标准排查现有实现并补齐缺失能力。,elmos-malware-quarantine-and-sandbox,true,场景触发
05-zh,zh-CN,请在 Elmos 仓库中实现“音频识别与说话人分离”。把音频转换为可编辑、可追溯、带时间范围和置信度的结构化转录，而不是无定位的纯文本。必须给出真实代码、迁移、测试和验收证据。,elmos-audio-asr-and-diarization,true,直接实现请求
05-scenario,zh-CN,当前 Elmos 遇到这个场景：实现音频预处理、ASR、语言检测、时间戳和说话人分离；当用户上传录音、会议音频或口述需求时使用。请按生产级标准排查现有实现并补齐缺失能力。,elmos-audio-asr-and-diarization,true,场景触发
06-zh,zh-CN,请在 Elmos 仓库中实现“图片 OCR 与预处理”。从图片中提取带坐标、阅读顺序、置信度和版面信息的文本，同时保留原图证据。必须给出真实代码、迁移、测试和验收证据。,elmos-image-ocr-and-preprocessing,true,直接实现请求
06-scenario,zh-CN,当前 Elmos 遇到这个场景：实现图片旋转、校正、增强、切片和 OCR；当任务涉及扫描件、截图、照片、手写文字或图像文本提取时使用。请按生产级标准排查现有实现并补齐缺失能力。,elmos-image-ocr-and-preprocessing,true,场景触发
07-zh,zh-CN,请在 Elmos 仓库中实现“UI 截图理解”。将 UI 图片转换为可编辑的结构树、设计语义和可验证实现约束，并与后续代码生成及视觉回归连接。必须给出真实代码、迁移、测试和验收证据。,elmos-visual-ui-understanding,true,直接实现请求
