requirement_id,status,implementation_source,verification,evidence_status,notes
EB-04-001,IMPLEMENTED,"V87 commercial_credit_journal_transactions; commercial_credit_journal_entries; elmos_assert_commercial_credit_transaction_balanced","CommercialCreditDoubleEntryMigrationContractTest; JdbcCommercialOrderStoreLiveTest.unbalancedJournalTransactionCannotCommit",LOCAL_EXECUTED_SELF_ATTESTED,"Immutable balanced double-entry Credit journal"
EB-04-002,PARTIAL,"V83 commercial_credit_lots; commercial_credit_reservations; V87 journal operation types","JdbcCommercialOrderStoreLiveTest",LOCAL_EXECUTED_SELF_ATTESTED,"Paid reserved consumed released and expired covered; promotional and refunded lifecycle policy absent"
EB-04-003,PARTIAL,"V83 reserve settle release functions; V87 operation context","JdbcCommercialOrderStoreLiveTest",LOCAL_EXECUTED_SELF_ATTESTED,"Reserve capture release and expiry covered; governed refund and dual-control adjustment absent"
EB-04-004,IMPLEMENTED,"CommercialOrderController.buyCredits; elmos_commercial_create_order","Commercial order BFF tests; JdbcCommercialOrderStoreLiveTest",LOCAL_EXECUTED_SELF_ATTESTED,"Tenant-bound request-content idempotency"
EB-04-005,IMPLEMENTED,"V83 account checks and row locks; V87 journal constraints","JdbcCommercialOrderStoreLiveTest.oneThousandConcurrentReservationsCannotOvercommit",LOCAL_EXECUTED_SELF_ATTESTED,"No negative non-credit balance or overcommit"
EB-04-006,IMPLEMENTED,"V87 commercial_credit_outbox_events; commercial_credit_outbox_delivery_attempts; elmos_claim_commercial_credit_outbox; elmos_complete_commercial_credit_outbox","CommercialCreditDoubleEntryMigrationContractTest; JdbcCommercialOrderStoreLiveTest.outboxFailureRetriesTheSameImmutableEventThenPublishesOnce",LOCAL_EXECUTED_SELF_ATTESTED,"Transactional outbox with stable event identity lease retry completion and immutable attempt history"
EB-04-007,IMPLEMENTED,"V87 elmos_commercial_credit_reconcile; elmos_commercial_rebuild_credit_projection; CommercialOrderController.creditReconciliation","CommercialOrderReconciliationApiTest; JdbcCommercialOrderStoreLiveTest.projectionRebuildUsesJournalAndIsAuditedIdempotently",LOCAL_EXECUTED_SELF_ATTESTED,"Read-only drift detection and role-restricted audited idempotent rebuild"
EB-04-008,MISSING,"None","None",NOT_RUN,"Dual approval workflow for manual Credit adjustments requires business and authorization policy"
EB-04-009,PARTIAL,"V83 FIFO Credit lot expiry; V87 EXPIRY journal operation","JdbcCommercialOrderStoreLiveTest.expiredGenerationReservationReleasesCreditsAndEntitlements",LOCAL_EXECUTED_SELF_ATTESTED,"Purchased Credit expiry covered; promotional classification and expiry policy absent"
EB-04-010,PARTIAL,"Payment reconciliation cases; V87 Credit reconcile function","Local reconciliation policy and PostgreSQL tests",LOCAL_EXECUTED_SELF_ATTESTED,"Internal ledger reconciliation exists; provider bank settlement and fee reconciliation NOT_RUN"
EB-10-001,IMPLEMENTED,"PaymentProviderRouter and provider adapters","Payment crypto and routing self-tests",LOCAL_EXECUTED_SELF_ATTESTED,"Provider DTOs remain behind adapters"
EB-10-002,PARTIAL,"Owner-only secret file loaders; application configuration","Secret permission and symlink negative tests",LOCAL_EXECUTED_SELF_ATTESTED,"Production secret manager binding and rotation NOT_RUN"
EB-10-003,IMPLEMENTED,"Payment callback adapters and replay guard","Signature timestamp environment event and amount negative tests",LOCAL_EXECUTED_SELF_ATTESTED,"Callbacks fail closed"
EB-10-004,IMPLEMENTED,"PaymentCallbackPipeline; callback receipts","Duplicate failure-reclaim and unknown-order tests",LOCAL_EXECUTED_SELF_ATTESTED,"Replay produces one business effect"
EB-10-005,IMPLEMENTED,"elmos_commercial_fulfill_order; V87 PURCHASE posting context","JdbcCommercialOrderStoreLiveTest; UI fulfillment journey",LOCAL_EXECUTED_SELF_ATTESTED,"Successful payment fulfills and journals once"
EB-10-006,PARTIAL,"Provider checkout and capture adapters","Adapter self-tests",LOCAL_EXECUTED_SELF_ATTESTED,"Credit top-up uses immediate payment; generic authorization partial capture and void are out of this route"
EB-10-007,MISSING,"None","None",NOT_RUN,"Real provider fees FX net settlement and settlement date facts absent"
EB-10-008,PARTIAL,"Reconciliation API and cases; V87 Credit reconcile","Local reconciliation tests",LOCAL_EXECUTED_SELF_ATTESTED,"Real provider and bank daily settlement NOT_RUN"
EB-10-009,IMPLEMENTED,"payment_reconciliation_cases","Amount mismatch late payment and unknown-result tests",LOCAL_EXECUTED_SELF_ATTESTED,"Exceptions enter controlled reconciliation"
EB-10-010,IMPLEMENTED,"ProductBillingAction; CreditWalletPanel","Chromium and mobile fulfillment journeys",LOCAL_EXECUTED_SELF_ATTESTED,"Return page and client state cannot credit balance"
