id,batch,batch_title,family,kind,name,path,summary
PG223,81,COBOL / JCL / REXX / CICS / IMS Mainframe Pack,enterprise-mainframe,discovery,mainframe-estate-discovery-and-inventory,skills/batch-81/PG223-mainframe-estate-discovery-and-inventory/SKILL.md,"Discover and inventory mainframe estate discovery and inventory within the COBOL / JCL / REXX / CICS / IMS Mainframe Pack, preserving platform semantics, traceability, security, and reproducible evidence."
PG224,81,COBOL / JCL / REXX / CICS / IMS Mainframe Pack,enterprise-mainframe,parser,cobol-parser-and-semantic-model,skills/batch-81/PG224-cobol-parser-and-semantic-model/SKILL.md,"Parse and semantically index cobol parser and semantic model within the COBOL / JCL / REXX / CICS / IMS Mainframe Pack, preserving platform semantics, traceability, security, and reproducible evidence."
PG225,81,COBOL / JCL / REXX / CICS / IMS Mainframe Pack,enterprise-mainframe,compiler,copybook-canonical-schema-compiler,skills/batch-81/PG225-copybook-canonical-schema-compiler/SKILL.md,"Compile copybook canonical schema compiler within the COBOL / JCL / REXX / CICS / IMS Mainframe Pack, preserving platform semantics, traceability, security, and reproducible evidence."
PG226,81,COBOL / JCL / REXX / CICS / IMS Mainframe Pack,enterprise-mainframe,model,jcl-batch-workflow-modeler,skills/batch-81/PG226-jcl-batch-workflow-modeler/SKILL.md,"Model jcl batch workflow modeler within the COBOL / JCL / REXX / CICS / IMS Mainframe Pack, preserving platform semantics, traceability, security, and reproducible evidence."
PG227,81,COBOL / JCL / REXX / CICS / IMS Mainframe Pack,enterprise-mainframe,modernizer,cics-transaction-modernizer,skills/batch-81/PG227-cics-transaction-modernizer/SKILL.md,"Modernize cics transaction modernizer within the COBOL / JCL / REXX / CICS / IMS Mainframe Pack, preserving platform semantics, traceability, security, and reproducible evidence."
PG228,81,COBOL / JCL / REXX / CICS / IMS Mainframe Pack,enterprise-mainframe,adapter,ims-vsam-db2-data-adapter,skills/batch-81/PG228-ims-vsam-db2-data-adapter/SKILL.md,"Adapt ims vsam db2 data adapter within the COBOL / JCL / REXX / CICS / IMS Mainframe Pack, preserving platform semantics, traceability, security, and reproducible evidence."
PG229,81,COBOL / JCL / REXX / CICS / IMS Mainframe Pack,enterprise-mainframe,generator,cobol-business-rule-recovery,skills/batch-81/PG229-cobol-business-rule-recovery/SKILL.md,"Generate cobol business rule recovery within the COBOL / JCL / REXX / CICS / IMS Mainframe Pack, preserving platform semantics, traceability, security, and reproducible evidence."
PG230,81,COBOL / JCL / REXX / CICS / IMS Mainframe Pack,enterprise-mainframe,extractor,mainframe-api-event-extractor,skills/batch-81/PG230-mainframe-api-event-extractor/SKILL.md,"Recover and extract mainframe api event extractor within the COBOL / JCL / REXX / CICS / IMS Mainframe Pack, preserving platform semantics, traceability, security, and reproducible evidence."
PG231,81,COBOL / JCL / REXX / CICS / IMS Mainframe Pack,enterprise-mainframe,generator,cobol-to-java-dotnet-generator,skills/batch-81/PG231-cobol-to-java-dotnet-generator/SKILL.md,"Generate cobol to java dotnet generator within the COBOL / JCL / REXX / CICS / IMS Mainframe Pack, preserving platform semantics, traceability, security, and reproducible evidence."
PG232,81,COBOL / JCL / REXX / CICS / IMS Mainframe Pack,enterprise-mainframe,verifier,mainframe-parallel-run-verifier,skills/batch-81/PG232-mainframe-parallel-run-verifier/SKILL.md,"Verify mainframe parallel run verifier within the COBOL / JCL / REXX / CICS / IMS Mainframe Pack, preserving platform semantics, traceability, security, and reproducible evidence."
PG233,81,COBOL / JCL / REXX / CICS / IMS Mainframe Pack,enterprise-mainframe,mapper,mainframe-security-operations-mapper,skills/batch-81/PG233-mainframe-security-operations-mapper/SKILL.md,"Map mainframe security operations mapper within the COBOL / JCL / REXX / CICS / IMS Mainframe Pack, preserving platform semantics, traceability, security, and reproducible evidence."
PG234,81,COBOL / JCL / REXX / CICS / IMS Mainframe Pack,enterprise-mainframe,planner,mainframe-cutover-decommission-planner,skills/batch-81/PG234-mainframe-cutover-decommission-planner/SKILL.md,"Plan mainframe cutover decommission planner within the COBOL / JCL / REXX / CICS / IMS Mainframe Pack, preserving platform semantics, traceability, security, and reproducible evidence."
