id,type,skillId,pack,priority,riskClass,statement,owner,verification,completionBoundary
REQ-01-01-01,functional,stakeholder-workflow-discovery,01-fde-engagement,P0,medium,"Capture sponsor, business owner, subject-matter experts, security, data, operations, and end-user roles.",fde-engagement-team,stakeholder-workflow-discovery-AC-01,E2
REQ-01-01-02,functional,stakeholder-workflow-discovery,01-fde-engagement,P0,medium,"Model happy paths, exception paths, handoffs, approvals, and undocumented workarounds.",fde-engagement-team,stakeholder-workflow-discovery-AC-02,E2
REQ-01-01-03,functional,stakeholder-workflow-discovery,01-fde-engagement,P0,medium,"Separate observed facts, stakeholder claims, assumptions, conflicts, and unknowns.",fde-engagement-team,stakeholder-workflow-discovery-AC-03,E2
REQ-01-01-04,functional,stakeholder-workflow-discovery,01-fde-engagement,P0,medium,Link every proposed opportunity to a baseline metric and accountable owner.,fde-engagement-team,stakeholder-workflow-discovery-AC-04,E2
REQ-01-01-05,functional,stakeholder-workflow-discovery,01-fde-engagement,P0,medium,Persist decisions and action items with due dates and evidence references.,fde-engagement-team,stakeholder-workflow-discovery-AC-05,E2
REQ-01-02-01,functional,business-baseline-roi,01-fde-engagement,P1,medium,"Measure current cycle time, labor, defects, incidents, revenue leakage, and risk exposure where relevant.",fde-value-engineering-team,business-baseline-roi-AC-01,E2
REQ-01-02-02,functional,business-baseline-roi,01-fde-engagement,P1,medium,Use ranges and confidence levels when data is incomplete.,fde-value-engineering-team,business-baseline-roi-AC-02,E2
REQ-01-02-03,functional,business-baseline-roi,01-fde-engagement,P1,medium,"Keep model, compute, storage, network, and human-review costs separate.",fde-value-engineering-team,business-baseline-roi-AC-03,E2
REQ-01-02-04,functional,business-baseline-roi,01-fde-engagement,P1,medium,Express delivery estimates as machine wall-clock plus explicitly separate human decisions.,fde-value-engineering-team,business-baseline-roi-AC-04,E2
REQ-01-02-05,functional,business-baseline-roi,01-fde-engagement,P1,medium,"Define post-launch measurement ownership, cadence, and data source.",fde-value-engineering-team,business-baseline-roi-AC-05,E2
REQ-01-03-01,functional,pilot-scope-sow-acceptance,01-fde-engagement,P0,high,"Classify engagement phase as discovery, PoC, pilot, production, remediation, or handoff.",fde-delivery-governance-team,pilot-scope-sow-acceptance-AC-01,E3
REQ-01-03-02,functional,pilot-scope-sow-acceptance,01-fde-engagement,P0,high,"Define in-scope, out-of-scope, dependencies, customer responsibilities, and non-goals.",fde-delivery-governance-team,pilot-scope-sow-acceptance-AC-02,E3
REQ-01-03-03,functional,pilot-scope-sow-acceptance,01-fde-engagement,P0,high,Make acceptance criteria machine-verifiable where possible.,fde-delivery-governance-team,pilot-scope-sow-acceptance-AC-03,E3
REQ-01-03-04,functional,pilot-scope-sow-acceptance,01-fde-engagement,P0,high,"Define stop, escalation, rollback, and re-scope conditions.",fde-delivery-governance-team,pilot-scope-sow-acceptance-AC-04,E3
