local_id,global_id,batch,name,title,purpose,depends_on,path
B97-S01,,97,b97-legacy-skill-estate-inventory,Legacy Skill Estate Inventory,"Inventory every installed Skill, schema, tool, runtime, route, policy, test and evidence asset from Batch 1–96 without treating filenames as authoritative identity.",,agent-skills/runtime/b97-legacy-skill-estate-inventory/SKILL.md
B97-S02,,97,b97-capability-ontology-foundation,Capability Ontology Foundation,"Define the canonical ELMOS capability vocabulary, hierarchy, boundaries and relation types used by every product line.",B97-S01,agent-skills/runtime/b97-capability-ontology-foundation/SKILL.md
B97-S03,,97,b97-skill-metadata-normalizer,Skill Metadata Normalizer,Normalize heterogeneous Skill metadata into one versioned machine-readable representation while preserving source identity and uncertainty.,B97-S02,agent-skills/runtime/b97-skill-metadata-normalizer/SKILL.md
B97-S04,,97,b97-capability-node-builder,Capability Node Builder,"Build typed capability, Skill, tool, runtime, artifact, test, evidence and policy nodes from the normalized estate.",B97-S03,agent-skills/runtime/b97-capability-node-builder/SKILL.md
B97-S05,,97,b97-dependency-edge-resolver,Dependency Edge Resolver,"Resolve explicit and inferred dependencies with confidence, evidence, direction and blocking semantics.",B97-S04,agent-skills/runtime/b97-dependency-edge-resolver/SKILL.md
B97-S06,,97,b97-conflict-overlap-detector,Conflict and Overlap Detector,"Detect duplicate, overlapping, contradictory and mutually exclusive Skills or policies before runtime selection.",B97-S05,agent-skills/runtime/b97-conflict-overlap-detector/SKILL.md
B97-S07,,97,b97-lifecycle-deprecation-model,Lifecycle and Deprecation Model,"Implement proposed, experimental, supported, deprecated, retired and blocked lifecycle states with transition controls.",B97-S06,agent-skills/runtime/b97-lifecycle-deprecation-model/SKILL.md
B97-S08,,97,b97-version-compatibility-matrix,Version Compatibility Matrix,"Model ELMOS Core, Skill, contract, toolchain, route and domain-pack compatibility using exact ranges and evidence.",B97-S07,agent-skills/runtime/b97-version-compatibility-matrix/SKILL.md
B97-S09,,97,b97-ownership-governance-registry,Ownership and Governance Registry,"Assign accountable owners, reviewers, security contacts and change authorities to every governed asset.",B97-S08,agent-skills/runtime/b97-ownership-governance-registry/SKILL.md
B97-S10,,97,b97-evidence-requirement-graph,Evidence Requirement Graph,"Link capabilities and Skills to the exact evidence types, freshness windows and independent approvals required for each verification state.",B97-S09,agent-skills/runtime/b97-evidence-requirement-graph/SKILL.md
B97-S11,,97,b97-tool-runtime-requirement-graph,Tool and Runtime Requirement Graph,"Map Skills to exact compilers, SDKs, services, runner profiles, licenses, devices and cloud capabilities.",B97-S10,agent-skills/runtime/b97-tool-runtime-requirement-graph/SKILL.md
B97-S12,,97,b97-route-domain-pack-composer,Route and Domain Pack Composer,"Compose reusable core primitives, route packs and domain policies without duplicating implementation logic.",B97-S11,agent-skills/runtime/b97-route-domain-pack-composer/SKILL.md
B97-S13,,97,b97-capability-graph-query-api,Capability Graph Query API,"Expose bounded, tenant-safe graph queries for discovery, dependency closure, impact analysis and execution planning.",B97-S12,agent-skills/runtime/b97-capability-graph-query-api/SKILL.md
B97-S14,,97,b97-legacy-estate-migration-planner,Legacy Estate Migration Planner,Plan non-destructive migration from Batch 1–96 manifests into the canonical graph with rollback and reconciliation.,B97-S13,agent-skills/runtime/b97-legacy-estate-migration-planner/SKILL.md
B97-S15,,97,b97-graph-change-impact-analyzer,Graph Change Impact Analyzer,"Calculate downstream compatibility, route, policy, evidence and certification impact for every graph change.",B97-S14,agent-skills/runtime/b97-graph-change-impact-analyzer/SKILL.md
B97-S16,,97,b97-capability-graph-certification-gate,Capability Graph Certification Gate,"Certify the canonical graph only when inventory, ontology, identity, dependencies, conflicts, ownership, compatibility and evidence requirements are complete.",B97-S15,agent-skills/runtime/b97-capability-graph-certification-gate/SKILL.md
B98-S01,,98,b98-executable-skill-contract-schema,Executable Skill Contract Schema,Define the authoritative versioned contract that makes a Skill executable rather than prose-only.,B97-S16,agent-skills/runtime/b98-executable-skill-contract-schema/SKILL.md
B98-S02,,98,b98-skill-markdown-contract-compiler,Skill Markdown Contract Compiler,Compile approved Skill Markdown and frontmatter into deterministic executable contracts with source maps.,B98-S01;B97-S03,agent-skills/runtime/b98-skill-markdown-contract-compiler/SKILL.md
B98-S03,,98,b98-input-output-schema-binder,Input and Output Schema Binder,"Bind every input and output to exact schemas, content types, ownership and retention rules.",B98-S02,agent-skills/runtime/b98-input-output-schema-binder/SKILL.md
B98-S04,,98,b98-precondition-guard-compiler,Precondition and Guard Compiler,"Compile preconditions, stop conditions and approval requirements into fail-closed executable guards.",B98-S03,agent-skills/runtime/b98-precondition-guard-compiler/SKILL.md
B98-S05,,98,b98-permission-capability-declaration,Permission and Capability Declaration,"Declare least-privilege process, filesystem, network, repository, secret, cloud and signing capabilities for each Skill.",B98-S04,agent-skills/runtime/b98-permission-capability-declaration/SKILL.md
