requirement_id,priority,skill,batch,statement,status,source_files,symbols,tests,runtime_evidence,commit,owner,notes
EB-01-001,P0,elmos-billing-orchestrator,B00,扫描并记录现有仓库的计费、任务、支付、模型与租户能力基线。,MISSING,,,,,,,
EB-01-002,P0,elmos-billing-orchestrator,B00,为每条需求维护五态实施状态并给出可验证证据。,MISSING,,,,,,,
EB-01-003,P0,elmos-billing-orchestrator,B00,生成无环、可并行且可恢复的批次依赖图。,MISSING,,,,,,,
EB-01-004,P0,elmos-billing-orchestrator,B01,为长任务保存输入哈希、代码基线、节点进度、输出和成本快照。,MISSING,,,,,,,
EB-01-005,P0,elmos-billing-orchestrator,B01,支持 Codex 与 Claude Code 在同一证据状态上交接而不重复收费。,MISSING,,,,,,,
EB-01-006,P0,elmos-billing-orchestrator,B01,禁止跨批次隐式改动公共契约，契约变更必须产生 ADR 和影响分析。,MISSING,,,,,,,
EB-01-007,P1,elmos-billing-orchestrator,B02,发布门禁必须覆盖安全、账务平衡、对账、性能、恢复和回滚。,MISSING,,,,,,,
EB-01-008,P1,elmos-billing-orchestrator,B02,完成报告必须关联需求、文件、符号、测试、运行证据和提交。,MISSING,,,,,,,
EB-01-009,P1,elmos-billing-orchestrator,B02,对固定价范围变化自动生成变更单候选而非继续无界执行。,MISSING,,,,,,,
EB-01-010,P1,elmos-billing-orchestrator,B02,总体状态必须可由机器从需求和证据文件重新计算。,MISSING,,,,,,,
EB-02-001,P0,elmos-pricing-product-model,B03,支持订阅、预充执行额度、按实际消耗、项目封顶价、固定价和企业年度合同。,MISSING,,,,,,,
EB-02-002,P0,elmos-pricing-product-model,B03,普通用户侧使用执行额度或货币金额展示，原始 Token 仅作为成本明细。,MISSING,,,,,,,
EB-02-003,P0,elmos-pricing-product-model,B03,价格簿必须包含币种、生效区间、状态、审批和不可变版本号。,MISSING,,,,,,,
EB-02-004,P0,elmos-pricing-product-model,B04,模型、沙箱、测试、存储、网络和平台编排费率必须独立配置。,MISSING,,,,,,,
EB-02-005,P0,elmos-pricing-product-model,B04,managed model 与 BYOK 必须使用不同费率组合。,MISSING,,,,,,,
EB-02-006,P0,elmos-pricing-product-model,B04,任务类型必须通过确定性规则路由到按量、封顶、固定或合同计费。,MISSING,,,,,,,
EB-02-007,P1,elmos-pricing-product-model,B05,项目 SKU 必须声明输入、输出、范围上限、验收和包含修改轮数。,MISSING,,,,,,,
EB-02-008,P1,elmos-pricing-product-model,B05,价格实验必须可分桶、可回滚且不得影响历史结算。,MISSING,,,,,,,
EB-02-009,P1,elmos-pricing-product-model,B05,示例价格不得在无审批情况下成为生产价格。,MISSING,,,,,,,
EB-02-010,P1,elmos-pricing-product-model,B05,所有价格变更必须生成审计记录和下游影响分析。,MISSING,,,,,,,
EB-03-001,P0,elmos-plan-catalog-entitlements,B06,支持 Free、Pro、Builder、Team、Enterprise 等配置化套餐。,MISSING,,,,,,,
EB-03-002,P0,elmos-plan-catalog-entitlements,B06,套餐必须支持席位、并发任务、模型等级、保留期、存储和功能权益。,MISSING,,,,,,,
EB-03-003,P0,elmos-plan-catalog-entitlements,B06,包含额度必须区分付费来源和促销来源。,MISSING,,,,,,,
EB-03-004,P0,elmos-plan-catalog-entitlements,B07,升级、降级、取消、暂停、重启和试用必须具有确定状态机。,MISSING,,,,,,,
EB-03-005,P0,elmos-plan-catalog-entitlements,B07,企业合同覆盖必须高于公共套餐且完整审计。,MISSING,,,,,,,
EB-03-006,P0,elmos-plan-catalog-entitlements,B07,所有服务必须通过统一 entitlement API 判断权限。,MISSING,,,,,,,
EB-03-007,P1,elmos-plan-catalog-entitlements,B08,权益快照必须绑定计划版本并可历史回放。,MISSING,,,,,,,
EB-03-008,P1,elmos-plan-catalog-entitlements,B08,并发限制必须在竞争条件下原子执行。,MISSING,,,,,,,
EB-03-009,P1,elmos-plan-catalog-entitlements,B08,套餐缓存必须由版本事件精确失效。,MISSING,,,,,,,
EB-03-010,P1,elmos-plan-catalog-entitlements,B08,订阅状态变化不得重复发放额度或重复计费。,MISSING,,,,,,,
EB-04-001,P0,elmos-credit-wallet-ledger,B09,所有额度和金额变化必须通过追加式双分录账本。,MISSING,,,,,,,
EB-04-002,P0,elmos-credit-wallet-ledger,B09,支持 paid、promotional、reserved、consumed、refunded 和 expired 余额语义。,MISSING,,,,,,,
EB-04-003,P0,elmos-credit-wallet-ledger,B09,支持 reserve、capture、partial capture、release、credit、refund 和 adjustment。,MISSING,,,,,,,
EB-04-004,P0,elmos-credit-wallet-ledger,B10,每个财务写操作必须提供幂等键并在租户内唯一。,MISSING,,,,,,,
EB-04-005,P0,elmos-credit-wallet-ledger,B10,非授信账户不得出现负可用余额。,MISSING,,,,,,,
EB-04-006,P0,elmos-credit-wallet-ledger,B10,账本交易必须通过事务性 outbox 发布事件。,MISSING,,,,,,,
EB-04-007,P1,elmos-credit-wallet-ledger,B11,余额投影必须可从账本确定性重建。,MISSING,,,,,,,
EB-04-008,P1,elmos-credit-wallet-ledger,B11,人工调整必须双人审批并附原因与证据。,MISSING,,,,,,,
EB-04-009,P1,elmos-credit-wallet-ledger,B11,赠送额度到期不得改变付费额度法律/会计属性。,MISSING,,,,,,,
EB-04-010,P1,elmos-credit-wallet-ledger,B11,账本必须支持日终余额和外部支付对账。,MISSING,,,,,,,
EB-05-001,P0,elmos-usage-metering,B12,统一计量模型 Token、缓存、CPU/GPU、浏览器、测试、存储、网络和第三方工具。,MISSING,,,,,,,
EB-05-002,P0,elmos-usage-metering,B12,用量事件必须不可变并带源事件 ID、时间、租户、任务、运行和节点关联。,MISSING,,,,,,,
EB-05-003,P0,elmos-usage-metering,B12,重复事件不得产生重复成本或重复扣费。,MISSING,,,,,,,
EB-05-004,P0,elmos-usage-metering,B13,原始单位必须归一化并保留转换精度和原始值。,MISSING,,,,,,,
EB-05-005,P0,elmos-usage-metering,B13,内部成本必须绑定事件时点的供应商费率版本。,MISSING,,,,,,,
EB-05-006,P0,elmos-usage-metering,B13,区分用户可计费、平台吸收、免费、失败重试和 BYOK 用量。,MISSING,,,,,,,
EB-05-007,P1,elmos-usage-metering,B14,迟到与修正事件必须在封账规则下可处理。,MISSING,,,,,,,
