id,skillId,kind,title,preconditions,expected
SCN-01-01-01,stakeholder-workflow-discovery,positive-or-edge,New customer discovery with incomplete documentation,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-01-01-02,stakeholder-workflow-discovery,positive-or-edge,Conflicting business and engineering descriptions,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-01-01-03,stakeholder-workflow-discovery,positive-or-edge,Workflow contains manual shadow steps,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-01-01-01,stakeholder-workflow-discovery,negative-trigger,implement a known code change,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-01-01-02,stakeholder-workflow-discovery,negative-trigger,summarize an already approved specification,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-01-02-01,business-baseline-roi,positive-or-edge,No trustworthy baseline exists,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-01-02-02,business-baseline-roi,positive-or-edge,Savings depend on user adoption,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-01-02-03,business-baseline-roi,positive-or-edge,Compute cost could erase operational benefit,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-01-02-01,business-baseline-roi,negative-trigger,financial audit,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-01-02-02,business-baseline-roi,negative-trigger,guaranteed savings claim,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-01-02-03,business-baseline-roi,negative-trigger,pricing without scope,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-01-03-01,pilot-scope-sow-acceptance,positive-or-edge,Two-week pilot with production integration requested,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-01-03-02,pilot-scope-sow-acceptance,positive-or-edge,Scope expands after discovery,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-01-03-03,pilot-scope-sow-acceptance,positive-or-edge,Acceptance criteria conflict across stakeholders,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-01-03-01,pilot-scope-sow-acceptance,negative-trigger,unbounded build everything request,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-01-03-02,pilot-scope-sow-acceptance,negative-trigger,production approval without evidence,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-01-04-01,status-risk-decision-communications,positive-or-edge,Weekly delivery review,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-01-04-02,status-risk-decision-communications,positive-or-edge,Critical blocker requires sponsor decision,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-01-04-03,status-risk-decision-communications,positive-or-edge,Executive demo readiness update,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-01-04-01,status-risk-decision-communications,negative-trigger,marketing copy,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-01-04-02,status-risk-decision-communications,negative-trigger,claim completion from plans only,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-01-05-01,procurement-security-questionnaire,positive-or-edge,Enterprise security questionnaire,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-01-05-02,procurement-security-questionnaire,positive-or-edge,RFP asks for certification not yet earned,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-01-05-03,procurement-security-questionnaire,positive-or-edge,Customer requires data residency evidence,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-01-05-01,procurement-security-questionnaire,negative-trigger,invent compliance status,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-01-05-02,procurement-security-questionnaire,negative-trigger,legal conclusion,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-01-05-03,procurement-security-questionnaire,negative-trigger,claim unexecuted control,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-01-06-01,adoption-change-management,positive-or-edge,Pilot works technically but usage is low,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-01-06-02,adoption-change-management,positive-or-edge,Operations team refuses ownership,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-01-06-03,adoption-change-management,positive-or-edge,Training must differ by role,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-01-06-01,adoption-change-management,negative-trigger,code refactor only,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-01-06-02,adoption-change-management,negative-trigger,user surveillance without consent,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-02-01-01,repository-custody-and-revisionset,positive-or-edge,Multi-repository product with inconsistent branches,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-02-01-02,repository-custody-and-revisionset,positive-or-edge,Submodule commit is unavailable,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-02-01-03,repository-custody-and-revisionset,positive-or-edge,Customer supplies source archive without Git history,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-02-01-01,repository-custody-and-revisionset,negative-trigger,scan an unapproved repository,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-02-01-02,repository-custody-and-revisionset,negative-trigger,reuse a stale checkout,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-02-01-03,repository-custody-and-revisionset,negative-trigger,modify source during intake,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-02-02-01,asset-inventory-and-classification,positive-or-edge,Million-line monorepo,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-02-02-02,asset-inventory-and-classification,positive-or-edge,Repository includes generated SDKs and vendored libraries,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-02-02-03,asset-inventory-and-classification,positive-or-edge,Encrypted or proprietary binary assets are present,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-02-02-01,asset-inventory-and-classification,negative-trigger,assume every file is authored source,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-02-02-02,asset-inventory-and-classification,negative-trigger,delete generated or vendored code,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-02-03-01,reproducible-build-environment,positive-or-edge,Documentation build command is stale,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-02-03-02,reproducible-build-environment,positive-or-edge,Private dependency registry is unavailable,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-02-03-03,reproducible-build-environment,positive-or-edge,Multiple incompatible SDK versions are required,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-02-03-01,reproducible-build-environment,negative-trigger,declare project broken before environment diagnosis,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-02-03-02,reproducible-build-environment,negative-trigger,run untrusted code outside sandbox,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-02-04-01,external-dependency-stub-and-service-virtualization,positive-or-edge,Payment API unavailable in test,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-02-04-02,external-dependency-stub-and-service-virtualization,positive-or-edge,Industrial OPC UA device requires simulation,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
